district,station
अकोला,अकोट
अकोला,अकोला 2
अकोला,अकोला १
अकोला,अकोला २
अकोला,आंसिंग
अकोला,कारंजा
अकोला,तेल्हारा
अकोला,पातूर
अकोला,पोहरादेवी
अकोला,बार्शी टाकळी
अकोला,बाळापूर
अकोला,बोरगाव मंजू
अकोला,मंगरूळपीर
अकोला,मंगळूरपीर
अकोला,मानोरा
अकोला,मालेगाव
अकोला,मुर्तिजापूर
अकोला,मूर्तिजापूर
अकोला,रिसोड
अकोला,वाशिम
अकोला,वाशीम
अकोला,हिवरखेड
अमरावती,अंजनगाव सुर्जी
अमरावती,अमरावती १
अमरावती,कुऱ्हा
अमरावती,चांदूर बाजार
अमरावती,चांदूर रेल्वे
अमरावती,चिखलदरा
अमरावती,तिवसा
अमरावती,दर्यापूर
अमरावती,धामणगाव रेल्वे
अमरावती,धारणी
अमरावती,परतवाडा/अचलपूर
अमरावती,बडनेरा
अमरावती,मोझरी
अमरावती,मोर्शी
अमरावती,राजापेठ
अमरावती,वरूड
अमरावती,वलगाव
अहिल्यानगर,अकोले
अहिल्यानगर,कर्जत
अहिल्यानगर,कोपरगाव
अहिल्यानगर,खर्डा
अहिल्यानगर,जामखेड
अहिल्यानगर,तारकपूर
अहिल्यानगर,पाथर्डी जुनी
अहिल्यानगर,पाथर्डी जुने
अहिल्यानगर,पाथर्डी नवीन
अहिल्यानगर,मिरजगाव
अहिल्यानगर,राशीन
अहिल्यानगर,राहाता
अहिल्यानगर,लोणी
अहिल्यानगर,शिर्डी
अहिल्यानगर,शेवगाव
अहिल्यानगर,श्रीगोंदा
अहिल्यानगर,श्रीरामपूर
अहिल्यानगर,संगमनेर
गडचिरोली,अलापल्ली
गडचिरोली,अहेरी
गडचिरोली,आरमोरी
गडचिरोली,आर्मोरी
गडचिरोली,आलापल्ली
गडचिरोली,कुरखेडा
गडचिरोली,गडचिरोली
गडचिरोली,गोंडपिंपरी
गडचिरोली,तळोधी
गडचिरोली,धानोरा
गडचिरोली,ब्रह्मपुरी
गडचिरोली,वडसा
गडचिरोली,सावली
गडचिरोली,सिंदेवाही
गडचिरोली,सिरोंचा
चंद्रपूर,घुग्घूस
चंद्रपूर,चंद्रपूर
चंद्रपूर,चिमूर
चंद्रपूर,बल्लारपूर
चंद्रपूर,भद्रावती
चंद्रपूर,मूल
चंद्रपूर,राजुरा
चंद्रपूर,वरोरा
छ. संभाजीनगर,कन्नड
छ. संभाजीनगर,गंगापूर
छ. संभाजीनगर,छ. संभाजीनगर मध्यवर्ती बस स्थानक
छ. संभाजीनगर,छ.संभाजीनगर सिडको
छ. संभाजीनगर,पैठण
छ. संभाजीनगर,फुलंब्री
छ. संभाजीनगर,वैजापूर
छ. संभाजीनगर,सिल्लोड
छ. संभाजीनगर,सोयगाव
जळगाव,अमळनेर
जळगाव,एरंडोल
जळगाव,चाळीसगाव
जळगाव,चोपडा
जळगाव,जळगाव नवीन
जळगाव,जळगाव शहर
जळगाव,जामनेर
जळगाव,धरणगाव
जळगाव,परोळा
जळगाव,पाचोरा
जळगाव,पारोळा
जळगाव,पाळधी
जळगाव,फैजपूर
जळगाव,बोदवड
जळगाव,भडगाव
जळगाव,भुसावळ
जळगाव,मुक्ताईनगर
जळगाव,यावल
जळगाव,रावेर
जळगाव,सावदा
जालना,अंबड
जालना,आष्टी
जालना,कुंभार पिंपळगाव
जालना,घनसावंगी
जालना,जाफराबाद
जालना,जालना
जालना,परतूर
जालना,बदनापूर
जालना,भोकरदन
जालना,मंठा
जालना,राजूर
जालना,शहागड
धाराशिव,अंदूर
धाराशिव,उमरगा
धाराशिव,कळंब
धाराशिव,तुळजापूर
धाराशिव,तुळजापूर जुनी
धाराशिव,तुळजापूर जुने
धाराशिव,तेर
धाराशिव,धाराशिव
धाराशिव,धाराशीव
धाराशिव,नळदुर्ग
धाराशिव,परंडा
धाराशिव,परांडा
धाराशिव,भूम
धाराशिव,भूम जुनी
धाराशिव,भूम जुने
धाराशिव,मुरूम
धाराशिव,येडशी
धाराशिव,येणेगूर
धाराशिव,येनेगूर
धाराशिव,येरमाळा
धाराशिव,लोहारा
धाराशिव,वाशी
धाराशिव,शिराढोण
धुळे,अक्कलकुवा
धुळे,चिमठाणे
धुळे,तळोदा
धुळे,देवपूर
धुळे,दोंडाईचा
धुळे,धडगाव
धुळे,धुळे
धुळे,नंदुरबार
धुळे,नवापूर
धुळे,शहादा
धुळे,शिरपूर
धुळे,साक्री
धुळे,सिंदखेडा
नांदेड,अर्धापूर
नांदेड,उमरी
नांदेड,कंधार
नांदेड,किनवट
नांदेड,कुंडलवाडी
नांदेड,तामसा
नांदेड,देगलूर नवीन
नांदेड,धर्माबाद
नांदेड,नरसी
नांदेड,नांदेड मध्यवर्ती
नांदेड,बरहाळी
नांदेड,बारड
नांदेड,बिलोली
नांदेड,भोकर
नांदेड,मुखेड
नांदेड,मुदखेड
नांदेड,लोहा
नांदेड,हदगाव
नागपूर,इमामवाडा
नागपूर,उमरेड
नागपूर,कमलेश्वर
नागपूर,काटोल
नागपूर,कामठी
नागपूर,कुही
नागपूर,कोंढाळी
नागपूर,खापा
नागपूर,गणेशपेठ
नागपूर,घाटरोड
नागपूर,जलालखेडा
नागपूर,धापेवाडा
नागपूर,नरखेड
नागपूर,परशिवनी
नागपूर,पारशिवनी
नागपूर,बुटीबोरी (एमआयडीसी)
नागपूर,मोरभवन
नागपूर,मोवाड
नागपूर,मोहपा
नागपूर,मौदा
नागपूर,रामटेक
नागपूर,वर्धमान नगर
नागपूर,सावनेर
नागपूर,हिंगणा
नाशिक,जुने ओझर
नाशिक,देवळा
नाशिक,नवीन ओझर
नाशिक,नांदगाव
नाशिक,नामपूर
नाशिक,पिंपळगाव
नाशिक,येवला
नाशिक,वणी
नाशिक,सटाणा
परभणी,आ. बाळापूर
परभणी,औंढा
परभणी,कळमनुरी
परभणी,गंगाखेड
परभणी,जिंतूर
परभणी,परभणी
परभणी,पाथरी
परभणी,मानवत
परभणी,वसमत
परभणी,वारंगा फाटा
परभणी,सेनगाव
परभणी,सेलू
परभणी,सोनपेठ
परभणी,हिंगोली
पालघर,अर्नाळा
पालघर,गणेशपुरी
पालघर,जव्हार
पालघर,डहाणू
पालघर,तलासरी
पालघर,दहाणू
पालघर,नवघर
पालघर,नालासोपारा
पालघर,पालघर
पालघर,बोईसर
पालघर,वज्रेश्वरी
पालघर,वसई
पालघर,विरार
पालघर,सफाळे
पुणे,आळेफाटा
पुणे,इंदापूर
पुणे,ओतूर
पुणे,घोडेगाव
पुणे,चाकण
पुणे,जुन्नर
पुणे,जेजूरी
पुणे,तळेगाव
पुणे,दौंड
पुणे,नारायणगाव
पुणे,नीरा
पुणे,न्हावरा
पुणे,पांडरे
पुणे,पिंपरी चिंचवड
पुणे,पुणे स्टेशन
पुणे,पौड
पुणे,बारामती
पुणे,भोर
पुणे,मंचर
पुणे,मालेगाव
पुणे,मोरगाव
पुणे,राजगुरुनगर
पुणे,लोणावळा
पुणे,वडगाव निंबाळकर
पुणे,वालचंदनगर
पुणे,वेल्हा
पुणे,शिक्रापूर
पुणे,शिरूर
पुणे,शिवाजीनगर
पुणे,सासवड
पुणे,सुपा
पुणे,स्वारगेट
बीड,आष्टी
बीड,केज
बीड,धारूर
बीड,नेकनूर
बीड,परळी
बीड,पाटोदा
बीड,बीड
बीड,माजलगाव
बुलढाणा,आमडापूर
बुलढाणा,खामगाव
बुलढाणा,चिखली
बुलढाणा,जळगाव जामोद
बुलढाणा,देऊळगाव राजा
बुलढाणा,धाड
बुलढाणा,नांदुरा
बुलढाणा,बुलढाणा
बुलढाणा,मलकापूर
बुलढाणा,मेहकर
बुलढाणा,मोताळा
बुलढाणा,लोणार
बुलढाणा,शेगाव
बुलढाणा,सिंदखेडराजा
भंडारा,आमगाव
भंडारा,गोंदिया
भंडारा,गोरेगाव
भंडारा,तिरोडा
भंडारा,तुमसर
भंडारा,देवरी
भंडारा,पवनी
भंडारा,भंडारा
भंडारा,मोरगाव अर्जुनी
भंडारा,मोहाडी
भंडारा,लाखणी
भंडारा,लाखनी
भंडारा,लाखांदूर
भंडारा,साकोली
मुंबई,उरण
मुंबई,कुर्ला नेहरूनगर
मुंबई,पनवेल
मुंबई,परळ
मुंबई,परेल
मुंबई,मुंबई मध्यवर्ती
मुंबई,मुंबई सेंट्रल
यवतमाळ,आर्णी
यवतमाळ,उमरखेड
यवतमाळ,कळंब
यवतमाळ,घाटंजी
यवतमाळ,घाटांजी
यवतमाळ,दारव्हा
यवतमाळ,दिग्रस
यवतमाळ,धानकी
यवतमाळ,नेर
यवतमाळ,परवा
यवतमाळ,पांढरकवडा
यवतमाळ,पारवा
यवतमाळ,पुसद
यवतमाळ,बाभूळगाव
यवतमाळ,महागाव
यवतमाळ,यवतमाळ
यवतमाळ,राळेगाव
यवतमाळ,लाडखेड
यवतमाळ,लोही
यवतमाळ,वणी
यवतमाळ,शेंबळपिंप्री
यवतमाळ,शेंबाळपिंपरी
यवतमाळ,सडोबा सावली
यवतमाळ,साडोबा सावळी
रत्नागिरी,खेड
रत्नागिरी,गणपतीपुळे
रत्नागिरी,गुहागर
रत्नागिरी,चिपळूण मध्यवर्ती
रत्नागिरी,चिपळूण शिवाजीनगर
रत्नागिरी,देवरुख
रत्नागिरी,देवरूख
रत्नागिरी,पाली
रत्नागिरी,पावस
रत्नागिरी,मंडणगड
रत्नागिरी,माखजन
रत्नागिरी,रत्नागिरी जिल्हाधिकारी कार्यालय
रत्नागिरी,रत्नागिरी मध्यवर्ती
रत्नागिरी,रहाटघर
रत्नागिरी,राजापूर
रत्नागिरी,राहतगड
रत्नागिरी,लांजा
रत्नागिरी,साखरपा
लातूर,अहमदपूर
लातूर,उदगीर
लातूर,औसा जुने
लातूर,औसा नवीन
लातूर,कासार शिरशी
लातूर,किंगाव
लातूर,किनगाव
लातूर,चाकूर
लातूर,तांदुळजा
लातूर,देवणी
लातूर,नळेगाव
लातूर,निलंगा
लातूर,पांगाव
लातूर,पानगाव
लातूर,मुरूड
लातूर,रेणापूर
लातूर,लातूर बस स्थानक २
लातूर,लातूर बसस्थानक 2
लातूर,लातूर मध्यवर्ती
लातूर,लातूर रेल्वे
लातूर,लामजना
लातूर,शिरूर अनंतपाळ
लातूर,हली हंदरगुळी
लातूर,हाळी हंडरगुळी
वर्धा,आर्वी
वर्धा,आष्टी
वर्धा,करंजा
वर्धा,कारंजा
वर्धा,जाम
वर्धा,तळेगाव
वर्धा,देवळी
वर्धा,पुलगाव
वर्धा,वर्धा
वर्धा,सेलू
वर्धा,हिंगणघाट
सांगली,आटपाडी
सांगली,आष्टा
सांगली,इस्लामपूर
सांगली,कडेगाव
सांगली,कडेपूर
सांगली,कवठेमहांकाळ
सांगली,कासेगाव
सांगली,कुंडल
सांगली,कोकरूड
सांगली,खरसुंडी
सांगली,खानापूर
सांगली,जत
सांगली,तासगाव
सांगली,पलूस
सांगली,मिरज शहर
सांगली,विटा
सांगली,शिराळा
सांगली,सांगली
सातारा,अतीत
सातारा,उंब्रज
सातारा,औंध
सातारा,काशीळ
सातारा,कोरेगाव
सातारा,ढेबेवाडी
सातारा,तारळे
सातारा,दहिवडी
सातारा,पा. खंडाळा
सातारा,पाचगणी
सातारा,पाचवड
सातारा,पाटण
सातारा,पुसेसावळी
सातारा,फलटण
सातारा,भुईंज
सातारा,मसूर
सातारा,महाबळेश्वर
सातारा,मायणी
सातारा,मेढा
सातारा,म्हसवड
सातारा,रहिमतपूर
सातारा,राजवाडा
सातारा,वडूज
सातारा,वाई
सातारा,शिंगणापूर
सातारा,शिरवळ
सातारा,सातारा
सिंधुदुर्ग,आंबोली
सिंधुदुर्ग,कणकवली
सिंधुदुर्ग,खारेपाटण
सिंधुदुर्ग,दोडामार्ग
सिंधुदुर्ग,फोंडाघाट
सिंधुदुर्ग,बांदा
सिंधुदुर्ग,मालवण
सिंधुदुर्ग,वेंगुर्ला
सिंधुदुर्ग,वैभववाडी
सिंधुदुर्ग,सावंतवाडी
सोलापूर,अकलूज जुनी
सोलापूर,अकलूज जुने
सोलापूर,अकलूज नवीन
सोलापूर,करमाळा
सोलापूर,कर्माळा
सोलापूर,कुर्डुवाडी
सोलापूर,जेऊर
सोलापूर,टेंभुर्णी
सोलापूर,तेंभुर्णी
सोलापूर,बार्शी
सोलापूर,मंगळवेढा
सोलापूर,माढा
सोलापूर,मोडनिंब
सोलापूर,वाघदरी
सोलापूर,संगोला
सोलापूर,सांगोला
सोलापूर,सोलापूर
